player_id,firstname,lastname,total,min_sea,fppg_sea,opp_team_fppg_position_sea,team_pace_sea,opp_pace_sea
201566,Russell,Westbrook,5,2,0,1,1,1
201142,Kevin,Durant,3,2,0,-1,1,1
201933,Blake,Griffin,1,2,0,-3,1,1
202339,Eric,Bledsoe,1,2,2,-2,2,-3
101108,Chris,Paul,5,2,2,-1,1,1
201599,DeAndre,Jordan,5,2,2,-1,1,1
202324,Derrick,Favors,2,2,2,-1,-3,2
202688,Brandon,Knight,1,2,2,-2,2,-3
202330,Gordon,Hayward,2,2,2,-1,-3,2
201586,Serge,Ibaka,4,2,1,-1,1,1
203458,Alex,Len,0,-1,1,1,2,-3
202683,Enes,Kanter,2,1,1,-2,1,1
202692,Alec,Burks,0,1,1,-1,-3,2
202720,Jon,Leuer,0,1,1,-1,2,-3
203504,Trey,Burke,0,1,1,-1,-3,2
202693,Markieff,Morris,0,1,1,-1,2,-3
200755,J.J.,Redick,3,1,1,-1,1,1
203918,Rodney,Hood,1,2,1,-1,-3,2
203079,Dion,Waiters,5,1,1,1,1,1
202344,Trevor,Booker,0,1,1,-1,-3,2
203141,Mirza,Teletovic,-4,-1,-1,-1,2,-3
2199,Tyson,Chandler,2,1,1,1,2,-3
203500,Steven,Adams,2,1,1,-2,1,1
203933,T.J.,Warren,0,1,1,-1,2,-3
2746,Josh,Smith,-3,-1,-1,-3,1,1
2037,Jamal,Crawford,3,1,1,-1,1,1
203462,Archie,Goodwin,-5,-1,-1,-2,2,-3
200779,Steve,Novak,-3,-2,-2,-1,1,1
203956,Mitch,McGary,-3,-2,-2,-1,1,1
204060,Joe,Ingles,-4,-1,-1,-1,-3,2
203460,Andre,Roberson,3,1,-1,1,1,1
1626166,Cameron,Payne,0,-2,-1,1,1,1
201627,Anthony,Morrow,1,-1,-1,1,1,1
2555,Nick,Collison,-1,-1,-1,-1,1,1
202332,Cole,Aldrich,-3,-2,-2,-1,1,1
202353,Tibor,Pleiss,-7,-2,-2,-2,-3,2
202362,Lance,Stephenson,-1,-1,-1,-1,1,1
202713,Kyle,Singler,-1,-1,-1,-1,1,1
203928,Cory,Jefferson,-6,-2,-2,-1,2,-3
203481,Jeff,Withey,-5,-1,-1,-2,-3,2
202407,Elijah,Millsap,-5,-2,-1,-1,-3,2
202325,Wesley,Johnson,-3,-1,-1,-3,1,1
203085,Austin,Rivers,1,1,-1,-1,1,1
1626168,Trey,Lyles,-4,-1,-1,-1,-3,2
203143,Pablo,Prigioni,-1,-1,-1,-1,1,1
1626164,Devin,Booker,-5,-1,-1,-2,2,-3
200782,P.J.,Tucker,-2,1,-1,-1,2,-3
201603,Sonny,Weems,-6,-2,-2,-1,2,-3
101179,Ronnie,Price,-5,-1,-1,-2,2,-3
203526,Raul,Neto,-4,-1,-1,-1,-3,2
1718,Paul,Pierce,-3,-1,-1,-3,1,1
203187,Chris,Johnson,-6,-2,-2,-1,-3,2
201571,D.J.,Augustin,1,-1,-1,1,1,1
